budget,genre,gross,name,rating,released,runtime,votes,winner
0,Thriller,135004,No Place to Hide,R,4/16/93,100,505,0
0,Crime,279627,Equinox,R,6/11/93,110,1033,0
0,Action,198504,Rescue Me,PG-13,12/3/93,99,455,0
0,Action,641886,Into the Sun,R,1/31/92,101,664,0
0,Animation,1119368,Freddie as F.R.O.7.,PG,8/28/92,100,561,0
0,Adventure,147724,Roadside Prophets,R,10/8/92,100,1065,0
0,Drama,100986,A Place in the World,PG,1/1/94,120,1880,1
130000,Drama,799674,Claire of the Moon,UNRATED,10/21/93,107,843,0
0,Action,28676,Naked Killer,R,8/4/95,100,1896,0
0,Drama,471120,Mac,R,2/19/93,117,787,0
0,Action,2567,Khuda Gawah,Not specified,5/8/92,193,1407,0
0,Comedy,123587,My New Gun,R,10/26/92,99,583,0
0,Comedy,130377,Hold Me Thrill Me Kiss Me,R,7/30/93,92,371,0
250000,Crime,340147,Swoon,UNRATED,9/25/92,93,1365,0
38000,Crime,117480,Laws of Gravity,R,8/20/93,100,769,0
28000000,Comedy,39514713,Hocus Pocus,PG,7/16/93,96,67192,0
25000000,Action,56505065,Tombstone,R,12/25/93,130,103911,0
22000000,Biography,96067179,Schindler's List,R,2/4/94,195,956124,2
0,Comedy,32416586,The Sandlot,PG,4/7/93,101,63337,0
63000000,Adventure,402453882,Jurassic Park,PG-13,6/11/93,127,685270,2
18000000,Animation,75082668,The Nightmare Before Christmas,PG,10/29/93,76,242487,0
6900000,Comedy,7993039,Dazed and Confused,R,2/10/94,102,133831,0
25000000,Crime,40903593,Un dÌa de furia,R,2/26/93,113,143906,0
42000000,Drama,158348367,The Firm,R,6/30/93,154,95562,1
13000000,Crime,12281500,True Romance,R,9/10/93,120,174471,0
75000000,Comedy,48919043,Addams Family Values,PG-13,11/19/93,94,62350,1
22000000,Crime,17266971,A Bronx Tale,R,10/1/93,121,106183,0
11000000,Drama,9170214,What's Eating Gilbert Grape,PG-13,3/4/94,118,183569,1
0,Drama,31181347,The Secret Garden,G,8/13/93,101,30896,0
14600000,Comedy,70906973,Groundhog Day,PG,2/12/93,101,483649,0
20000000,Adventure,35739755,Robin Hood: Men in Tights,PG-13,7/28/93,104,97973,0
25000000,Comedy,219200000,Mrs. Doubtfire,PG-13,11/24/93,125,198772,2
21000000,Comedy,126533006,Sleepless in Seattle,PG,6/25/93,105,132264,1
85000000,Action,50016394,Last Action Hero,PG-13,6/18/93,130,114476,0
35000000,Crime,4496583,"Blood In, Blood Out",R,4/30/93,180,24686,0
70000000,Action,84049211,Cliffhanger,R,5/28/93,112,102888,1
44000000,Action,183875760,The Fugitive,PG-13,8/6/93,130,226899,2
20000000,Adventure,77698625,Free Willy,PG,7/16/93,112,56085,0
38000000,Drama,106614100,Indecent Proposal,R,4/7/93,117,51687,0
26000000,Drama,77324422,Philadelphia,PG-13,1/14/94,125,191244,2
0,Adventure,41833324,Homeward Bound: The Incredible Journey,G,2/12/93,84,36081,0
7000000,Drama,40158000,El piano,R,2/11/94,121,67921,0
30000000,Crime,36948322,Carlito's Way,R,11/12/93,144,173380,0
38000000,Comedy,57319029,Sister Act 2: Back in the Habit,PG,12/10/93,107,39452,0
57000000,Action,58055768,Demolition Man,R,10/8/93,115,133674,0
42000000,Adventure,20915465,Super Mario Bros.,PG,5/28/93,104,40601,0
0,Biography,22750363,Rudy,PG,10/22/93,114,45697,0
30000000,Action,53898845,The Three Musketeers,PG,11/12/93,105,43792,1
13000000,Biography,25010410,En el nombre del padre,R,2/25/94,133,122973,0
40000000,Drama,36300000,Sliver,R,5/21/93,107,24457,0
32000000,Adventure,36733909,Alive,R,1/15/93,120,42086,0
30000000,Drama,32200000,The Age of Innocence,PG,10/1/93,139,39143,2
17000000,Drama,44594000,The Good Son,R,9/24/93,87,30596,0
15000000,Adventure,68856263,Cool Runnings,PG,10/1/93,98,75331,0
11000000,Comedy,22551000,Much Ado About Nothing,PG-13,7/2/93,111,39297,0
15000000,Action,23004026,The Program,R,9/24/93,112,7889,0
14000000,Action,35112679,Dragon: The Bruce Lee Story,PG-13,5/7/93,120,23459,0
3500000,Crime,27900000,Menace II Society,R,5/26/93,97,42874,0
0,Comedy,1769305,Naked,NOT RATED,2/4/94,132,26378,0
18000000,Action,32589677,Hard Target,R,8/20/93,97,37456,0
0,Comedy,70172621,Grumpy Old Men,PG-13,12/25/93,103,36981,0
0,Comedy,51270765,Dennis the Menace,PG,6/25/93,94,47507,0
25000000,Drama,10769960,Gettysburg,PG,10/8/93,271,22949,0
0,Drama,14543394,The Vanishing,R,2/5/93,109,19826,0
0,Comedy,44029386,The Beverly Hillbillies,PG,10/15/93,92,15276,0
8000000,Crime,2502551,Red Rock West,R,5/14/93,98,16835,0
0,Biography,4104962,This Boy's Life,R,4/23/93,115,38466,0
20000000,Comedy,11585483,So I Married an Axe Murderer,PG-13,7/30/93,93,29457,0
0,Comedy,23202734,Benny & Joon,PG,4/23/93,98,48597,0
0,Drama,1796389,Boxing Helena,R,9/3/93,107,10085,0
0,Crime,15185672,Needful Things,R,8/27/93,120,18215,0
15000000,Horror,9579068,The Dark Half,R,4/23/93,122,12885,0
3000000,Fantasy,15935068,Jason Goes to Hell: The Final Friday,R,8/13/93,87,21333,0
40000000,Comedy,48197805,Wayne's World 2,PG-13,12/10/93,95,66535,0
45000000,Crime,100768056,The Pelican Brief,PG-13,12/17/93,141,63850,0
15000000,Biography,39100956,What's Love Got to Do with It,R,6/25/93,118,14287,1
40000000,Action,102314283,In the Line of Fire,R,7/9/93,128,78551,1
0,Comedy,21274717,Coneheads,PG,7/23/93,88,44080,0
6000000,Drama,13609396,The Crush,R,4/2/93,89,12904,1
15000000,Biography,20100000,Fire in the Sky,PG-13,3/12/93,109,17555,0
900000,Comedy,8556940,Leprechaun,R,1/8/93,92,18654,0
30000000,Crime,31160784,A Perfect World,PG-13,11/24/93,138,61676,0
0,Comedy,6110979,Short Cuts,R,10/1/93,188,37151,1
15000000,Drama,22954968,The Remains of the Day,PG,11/19/93,134,49507,1
0,Drama,1324974,Three Colors: Blue,R,9/8/93,98,68624,0
2000000,Horror,621392,Cronos,R,5/1/94,94,21699,0
2600000,Adventure,2850263,Airborne,PG,9/17/93,91,5414,0
22000000,Action,10696210,RoboCop 3,PG-13,11/5/93,104,37985,0
9000000,Crime,2395231,Kalifornia,R,9/3/93,117,44601,0
25000000,Action,38911970,Hot Shots! Part Deux,PG-13,5/21/93,86,72228,0
0,Action,30038362,Point of No Return,R,3/19/93,109,21683,0
0,Comedy,36448200,Son in Law,PG-13,7/2/93,95,14463,0
25000000,Drama,6265311,La casa de los espÌritus,R,4/1/94,140,18007,0
10000000,Comedy,53579269,Rookie of the Year,PG,7/7/93,103,19681,0
6000000,Animation,5617391,Batman: Mask of the Phantasm,PG,12/25/93,76,33504,0
35000000,Action,63095271,Rising Sun,R,7/30/93,125,37093,0
0,Drama,24760338,The Man Without a Face,PG-13,8/25/93,115,24307,0
0,Comedy,10340263,Look Who's Talking Now,PG-13,11/5/93,96,23744,0
14000000,Drama,27515786,Poetic Justice,R,7/23/93,109,9850,1
0,Action,18994653,Sniper,R,1/29/93,98,20355,0
11000000,Comedy,29296,Freaked,PG-13,3/31/94,86,4909,0
35000000,Drama,18635620,Geronimo: An American Legend,PG-13,12/10/93,115,7190,1
19000000,Comedy,106658,Arizona Dream,R,9/9/94,142,36250,0
0,Drama,77848,Stalingrad,NOT RATED,1/21/93,134,25655,0
20000000,Crime,46044636,Malicia,R,10/1/93,107,19410,0
30000000,Drama,13275426,El cuerpo del delito,R,1/15/93,99,11992,0
0,Drama,5632086,Swing Kids,PG-13,3/5/93,112,13893,0
14000000,Comedy,1029721,The Thing Called Love,PG-13,8/27/93,116,6086,0
0,Drama,6995302,Fearless,R,11/5/93,122,18643,1
0,Comedy,63270710,Dave,PG-13,5/7/93,110,42827,1
15000000,Comedy,53354166,Beethoven's 2nd,PG,12/17/93,89,20989,1
35000000,Drama,4858139,Little Buddha,PG,5/25/94,123,13197,0
12000000,Comedy,6410676,Six Degrees of Separation,R,12/8/93,112,17414,1
33000000,Action,5864949,El cielo y la tierra,R,1/7/94,140,11419,0
17000000,Action,42660000,Teenage Mutant Ninja Turtles III,PG,3/19/93,96,26647,0
8200000,Action,27979400,Loaded Weapon 1,PG-13,2/5/93,84,39412,0
0,Comedy,17953778,CB4,R,3/12/93,89,7711,0
0,Action,4916135,Surf Ninjas,PG,8/20/93,100,6673,0
13000000,Horror,428868,Body Snatchers,R,1/28/94,87,14297,0
0,Drama,1499795,M. Butterfly,R,10/1/93,101,7251,0
0,Animation,9315576,We're Back! A Dinosaur's Story,G,11/24/93,72,11383,0
0,Drama,9488998,Flesh and Bone,R,11/5/93,126,4267,0
22000000,Biography,25842000,Shadowlands,PG,1/14/94,131,14238,1
11000000,Drama,32861136,The Joy Luck Club,R,10/29/93,139,13064,0
2000000,Horror,54207,Return of the Living Dead III,R,2/25/94,97,11145,0
21000000,Action,12136938,Judgment Night,R,10/15/93,110,12969,0
0,Biography,7266383,Searching for Bobby Fischer,PG,8/11/93,109,25256,1
0,Drama,256264,Dream Lover,R,5/6/94,103,3327,0
1500000,Crime,418953,Killing Zoe,R,9/1/94,96,17980,0
30000000,Action,23798623,Striking Distance,R,9/17/93,102,35484,0
0,Drama,5216888,Farewell My Concubine,R,10/15/93,171,19497,1
15000000,Action,22189039,Nowhere to Run,R,1/15/93,94,18494,0
7500000,Comedy,18899204,Untamed Heart,PG-13,2/12/93,102,10810,0
30000000,Comedy,10997166,For Love or Money,PG,10/1/93,96,10037,0
0,Comedy,9532895,Matinee,PG,1/29/93,99,7511,0
0,Comedy,7770731,Sirenas,R,3/25/94,98,8692,0
13500000,Comedy,11285588,Manhattan Murder Mystery,PG,8/18/93,104,30925,0
0,Comedy,16581714,Heart and Souls,PG-13,8/13/93,104,13859,0
0,Drama,322975,The Cement Garden,NOT RATED,2/11/94,105,3847,0
22000000,Comedy,44942695,Made in America,PG-13,5/28/93,111,12718,0
0,Drama,50081992,Sommersby,PG-13,2/5/93,114,16471,0
11500000,Action,3275585,Romeo Is Bleeding,R,2/4/94,100,11408,0
6500000,Adventure,24103594,The Adventures of Huck Finn,PG,4/2/93,108,6666,0
15000000,Drama,6419876,The Temp,R,2/12/93,99,2554,0
0,Comedy,11081586,Mad Dog and Glory,R,3/5/93,97,18138,0
0,Crime,3269420,Mi vida loca,R,7/15/94,92,1614,0
0,Comedy,700000,Los visitantes,R,7/12/96,107,26753,0
0,Drama,1610792,Wide Sargasso Sea,NC-17,4/16/93,98,1662,0
0,Drama,27484464,My Life,PG-13,11/12/93,117,9147,0
6000000,Action,3273588,Only the Strong,PG-13,8/27/93,99,4542,0
0,Comedy,2093370,Kika,UNRATED,5/6/94,114,10149,0
0,Comedy,3335984,My Boyfriend's Back,PG-13,8/6/93,85,3667,0
8000000,Comedy,1710000,Even Cowgirls Get the Blues,R,5/20/94,95,6381,0
7000000,Adventure,12741891,Weekend at Bernie's II,PG,7/9/93,97,11036,0
9000000,Comedy,14904910,Indian Summer,PG-13,4/23/93,97,4338,0
0,Comedy,7852653,Fatal Instinct,PG-13,10/29/93,91,5807,0
13000000,Animation,6574896,Once Upon a Forest,G,6/18/93,71,4131,0
0,Comedy,12440858,Life with Mikey,PG,6/4/93,91,4691,0
0,Comedy,12416686,Undercover Blues,PG-13,9/10/93,90,6516,0
28000000,Animation,669276,The Thief and the Cobbler,G,8/25/95,72,2780,0
30000000,Action,8023147,The Meteor Man,PG,8/6/93,100,5627,0
14000000,Comedy,31888805,Cop & Ω,PG,4/2/93,97,7406,0
3000000,Fantasy,3902679,Warlock: The Armageddon,R,9/24/93,98,4275,0
8000000,Drama,1299318,King of the Hill,PG-13,8/20/93,103,6291,0
10000000,Action,4247162,Mr. Nanny,PG,10/8/93,84,7914,0
0,Drama,1497222,A Dangerous Woman,R,12/3/93,102,1327,0
11000000,Action,14681661,Iron Monkey,PG-13,10/12/01,90,13830,0
10500000,Drama,810455,"Faraway, So Close!",PG-13,12/21/93,144,6278,0
0,Action,6607218,Best of the Best II,R,3/5/93,101,4469,0
0,Adventure,12890752,A Far Off Place,PG,3/12/93,100,2952,0
18000000,Adventure,1528163,Josh and S.A.M.,PG-13,11/24/93,96,1253,0
25000000,Drama,8315975,Mr. Jones,R,10/8/93,114,5931,0
10000000,Crime,18369,Deadfall,R,10/8/93,98,2376,0
11000000,Crime,16696219,Blink,R,1/26/94,106,6770,0
1000000,Comedy,6933459,The Wedding Banquet,R,8/4/93,106,11573,1
10000000,Drama,18272447,Sugar Hill,R,2/25/94,123,3376,0
6000000,Comedy,12974636,Man's Best Friend,R,11/19/93,87,3256,0
0,Drama,309117,The Slingshot,R,6/3/94,102,1686,0
10000000,Western,18290000,Posse,R,5/14/93,111,3422,0
0,Crime,667078,The Advocate,R,8/24/94,100,1663,0
0,Action,20208496,Another Stakeout,PG-13,7/23/93,108,11561,0
1000000,Horror,1753979,Carnosaur,R,5/21/93,83,3208,0
14000000,Drama,8041049,Aspen Extreme,PG-13,1/22/93,113,2414,0
12000000,Horror,5086909,Ghost in the Machine,R,12/29/93,95,2839,0
25000000,Comedy,2457574,Son of the Pink Panther,PG,8/27/93,93,4105,0
0,Drama,322871,House of Cards,PG-13,6/25/93,100,2301,0
0,Action,194720,Crime Story,R,6/24/93,107,4566,0
0,Drama,378854,Germinal,R,3/31/94,160,3759,0
10000000,Drama,72495,Dangerous Game,R,11/19/93,108,3022,0
12000000,Biography,1703282,A Home of Our Own,PG,11/5/93,104,2416,0
0,Comedy,3418141,Father Hood,PG-13,8/27/93,95,2440,0
0,Comedy,3246063,Splitting Heirs,PG-13,4/30/93,87,3515,0
19000000,Family,2119994,The Nutcracker,G,11/24/93,92,1280,0
11000000,Comedy,1044824,Money for Nothing,R,9/10/93,100,3306,0
8000000,Drama,874148,Mother's Boys,R,3/18/94,96,2570,0
0,Drama,296081,Ethan Frome,PG,3/12/93,99,1798,0
0,Drama,61274,Silent Tongue,PG-13,1/27/95,102,922,0
0,Comedy,9745803,Amos & Andrew,PG-13,3/5/93,96,7566,0
11900000,Drama,48856,Maadadayo,Not specified,3/20/98,134,4081,0
0,Crime,22886222,Guilty as Sin,R,6/4/93,107,3881,0
0,Crime,6473326,The Real McCoy,PG-13,9/10/93,105,7143,0
13000000,Comedy,3125424,Mr. Wonderful,PG-13,10/15/93,98,2743,0
0,Comedy,1038959,Naked in New York,R,4/13/94,95,1393,0
0,Drama,5145462,Jack the Bear,PG-13,4/2/93,99,3451,0
0,Biography,1718328,Blue,Not specified,12/3/93,79,1414,0
9000000,Action,10058318,Boiling Point,R,4/16/93,92,4831,0
0,Romance,121548,For the Moment,PG-13,4/19/96,100,821,0
0,Drama,553454,The Innocent,R,9/1/95,119,1319,0
0,Drama,89388,Raining Stones,NOT RATED,10/8/93,90,3399,0
0,Comedy,2080805,Strawberry and Chocolate,R,1/20/95,108,4563,1
0,Comedy,9285189,Lost in Yonkers,PG,5/14/93,114,2180,0
999999,Comedy,238230,Fear of a Black Hat,R,6/3/94,88,3462,0
0,Drama,543091,The Ballad of Little Jo,R,8/20/93,100,1211,0
0,Comedy,11299730,Who's the Man?,R,4/23/93,100,1519,0
0,Comedy,17952857,Born Yesterday,PG,3/26/93,100,3296,2
8030000,Action,3411885,Gunmen,R,2/4/94,94,2861,0
0,Drama,231700,Wrestling Ernest Hemingway,PG-13,12/17/93,123,2547,0
0,Comedy,98967,Totally F***ed Up,UNRATED,1/13/95,78,2164,0
0,Comedy,84859,Wilder Napalm,PG-13,8/20/93,109,1349,0
13000000,Drama,2570145,Calendar Girl,PG-13,9/3/93,90,1901,0
2500000,Drama,764083,"Bodies, Rest & Motion",R,4/9/93,95,2008,0
0,Drama,1910763,The Scent of Green Papaya,NOT RATED,1/28/94,104,6642,1
0,Action,3560604,Once Upon a Time in China III,R,2/11/93,109,5426,0
0,Horror,168180,Witchboard 2,R,9/10/93,98,1178,0
1000000,Drama,2691899,Sankofa,Not specified,5/28/93,100,456,0
0,Comedy,2786807,Hexed,R,1/22/93,100,1313,0
0,Biography,472598,Caro diario,UNRATED,9/30/94,100,5831,0
0,Drama,21647,Morning Glory,PG-13,9/17/93,96,315,2
0,Comedy,5495507,Three of Hearts,R,4/30/93,100,1699,0
0,Comedy,120623,Watch It,R,3/26/93,102,505,0
5000000,Action,2970,Philadelphia Experiment II,PG-13,6/4/94,97,1526,0
0,Drama,355974,El papalote azul,Not specified,3/25/94,100,2170,0
0,Drama,953755,Love & Human Remains,R,6/23/95,100,2248,0
0,Drama,57115,The Saint of Fort Washington,R,11/17/93,100,2027,0
800000,Drama,1001437,Ruby in Paradise,R,11/5/93,114,2137,0
25000000,Crime,28341469,The Shawshank Redemption,R,10/14/94,142,1861666,1
8000000,Crime,107928762,Pulp Fiction,R,10/14/94,154,1456787,2
55000000,Comedy,330252182,Forrest Gump,PG-13,7/6/94,142,1402876,2
0,Crime,19501238,LÈon: The Professional,R,11/18/94,110,806235,0
45000000,Animation,312900000,The Lion King,G,6/24/94,88,723070,2
60000000,Drama,105264608,Interview with the Vampire: The Vampire Chronicles,R,11/11/94,123,255095,0
30000000,Action,121248145,Speed,R,6/10/94,116,279357,2
0,Comedy,51764950,The Little Rascals,PG,8/5/94,82,36665,0
4400000,Comedy,52700832,Four Weddings and a Funeral,R,4/15/94,117,115440,1
18000000,Comedy,119938730,The Mask,PG-13,7/29/94,101,286352,1
16000000,Comedy,127175354,Dumb and Dumber,PG-13,12/16/94,107,306934,0
34000000,Crime,50282766,Natural Born Killers,R,8/26/94,118,185627,0
30000000,Drama,66638883,Legends of the Fall,R,1/13/95,133,121453,2
55000000,Action,71565669,Stargate: la puerta del tiempo,PG-13,10/28/94,116,156375,0
115000000,Action,146282411,True Lies,R,7/15/94,141,202934,1
23000000,Action,50693162,The Crow,R,5/13/94,102,144969,0
12000000,Comedy,72217000,Ace Ventura: Pet Detective,PG-13,2/4/94,86,232964,0
63000000,Adventure,25052000,Wyatt Earp,PG-13,6/24/94,191,38101,1
46000000,Comedy,130512915,The Flintstones,PG,5/27/94,91,64538,0
0,Comedy,45610410,D2: The Mighty Ducks,PG,3/25/94,106,30231,0
11500000,Comedy,20982557,Reality Bites,PG-13,2/18/94,99,38652,0
35000000,Action,75668868,Star Trek: Generations,PG,11/18/94,118,64703,0
18000000,Biography,5887457,Ed Wood,R,10/7/94,127,149166,2
8000000,Fantasy,18090181,New Nightmare,R,10/14/94,112,41464,0
230000,Comedy,3151130,Clerks,R,11/9/94,92,190615,0
45000000,Drama,22006296,Mary Shelley's Frankenstein,R,11/4/94,123,44892,1
62000000,Action,122187717,Clear and Present Danger,PG-13,8/3/94,141,74328,1
15000000,Drama,50083616,Little Women,PG,12/25/94,115,39288,2
40000000,Comedy,38087756,Ri¢hie Ri¢h,PG,12/21/94,95,53644,0
600000,Comedy,141626,Texas Chainsaw Massacre: The Next Generation,R,10/21/95,95,16202,0
50000000,Adventure,16671505,Baby's Day Out,PG,7/1/94,99,36625,0
35000000,Action,33423521,Street Fighter,PG-13,12/23/94,102,56055,0
20000000,Comedy,19288821,Little Giants,PG,10/14/94,107,21057,0
0,Comedy,5370000,Airheads,PG-13,8/5/94,92,40298,0
0,Comedy,11220670,"Las aventuras de Priscilla, reina del desierto",R,8/10/94,104,39500,0
5000000,Biography,3049135,Criaturas celestiales,R,3/27/98,99,52852,0
8000000,Fantasy,8946600,In the Mouth of Madness,R,2/3/95,95,47554,0
31000000,Drama,33683817,Nell,PG-13,12/23/94,112,23973,1
45000000,Crime,92115211,The Client,PG-13,7/20/94,119,49609,1
75000000,Action,101631272,Maverick,PG,5/20/94,127,88132,1
22000000,Comedy,144833357,The Santa Clause,PG,11/11/94,97,71963,0
0,Drama,22355000,Blue Chips,PG-13,2/18/94,108,10150,0
0,Comedy,25479558,My Father the Hero,PG,2/4/94,90,9254,0
0,Crime,600200,Chungking Express,PG-13,3/8/96,102,45500,0
45000000,Action,57362581,The Specialist,R,10/7/94,110,53868,0
0,Comedy,30577969,Blank Check,PG,2/11/94,93,15449,0
40000000,Comedy,24332324,Renaissance Man,PG-13,6/3/94,128,14657,0
27000000,Adventure,44342956,El Libro de la Selva,PG,12/30/94,111,14034,0
3000000,Comedy,15185594,La boda de Muriel,R,3/31/95,106,29720,0
24000000,Comedy,50236831,Angels in the Outfield,PG,7/15/94,102,23966,0
55000000,Action,42610000,Beverly Hills Cop III,R,5/25/94,104,64891,0
31000000,Biography,24822619,Quiz Show,PG-13,10/7/94,133,57114,1
55000000,Drama,83015089,Disclosure,R,12/9/94,128,39139,0
0,Crime,2201126,Somos guerreros,R,3/3/95,102,27093,0
0,Comedy,20160000,"Corrina, Corrina",PG,8/26/94,115,10650,0
70000000,Drama,65012000,Wolf,R,6/17/94,125,46095,0
30000000,Comedy,51132598,Naked Gun 33 1/3: The Final Insult,PG-13,3/18/94,83,82374,0
0,Romance,15240435,Bad Girls,R,4/22/94,99,10190,0
27000000,Animation,13670688,The Pagemaster,G,11/23/94,80,17391,0
30000000,Comedy,2869369,The Hudsucker Proxy,PG,3/11/94,111,68649,0
40000000,Mystery,19721814,Color of Night,R,8/19/94,121,19835,0
45000000,Action,46815748,The River Wild,PG-13,9/30/94,111,35146,0
8000000,Comedy,4350774,PCU,PG-13,4/29/94,79,10934,0
0,Drama,4043686,Three Colors: Red,R,11/23/94,99,69096,0
25000000,Comedy,22150451,Don Juan DeMarco,PG-13,4/7/95,97,43444,1
0,Adventure,10471613,Camp Nowhere,PG,8/26/94,96,7684,0
10000000,Action,11546543,The Legend of Drunken Master,R,10/20/00,102,37144,0
60000000,Comedy,36763355,Junior,PG-13,11/23/94,109,56919,1
27000000,Action,44853581,Timecop: PolicÌa del futuro,R,9/16/94,99,47553,0
0,Comedy,20042048,Only You,PG,10/7/94,115,16746,0
0,Comedy,17359799,My Girl 2,PG,2/11/94,99,15940,0
20000000,Animation,9771658,The Swan Princess,G,11/18/94,100,18972,0
0,Comedy,30626182,Major League II,PG,3/30/94,105,21665,0
3500000,Crime,16036534,Above the Rim,R,3/23/94,96,11508,0
0,Action,16096000,The Getaway,R,2/11/94,115,14913,0
0,Comedy,37800323,It Could Happen to You,PG,7/29/94,101,29594,0
0,Biography,9914409,Immortal Beloved,R,1/27/95,121,20038,0
18000000,Comedy,11300653,Ready to Wear,R,12/25/94,133,12985,0
2500000,Crime,6138485,The Last Seduction,R,10/26/94,110,17307,0
0,Drama,50021959,When a Man Loves a Woman,R,5/13/94,126,17718,0
0,Drama,4183379,ExÛtica,R,3/24/95,103,15366,0
50000000,Action,38590500,On Deadly Ground,R,2/18/94,101,19210,0
25000000,Comedy,6841570,Exit to Eden,R,10/14/94,113,5798,0
0,Comedy,14815000,Threesome,R,4/8/94,89,11407,0
7400000,Action,7690013,Surviving the Game,R,4/15/94,96,8846,0
2500000,Crime,2881508,Shallow Grave,R,2/10/95,89,49100,0
14000000,Comedy,13640000,Crooklyn,PG-13,5/13/94,115,6583,0
16000000,Drama,3359465,Blue Sky,PG-13,9/16/94,101,5683,2
12000000,Action,8914777,The Next Karate Kid,PG,9/9/94,107,20024,0
50000000,Action,30155037,Blown Away,R,7/1/94,121,24421,0
0,Horror,8638072,The Puppet Masters,R,10/21/94,109,7281,0
28000000,Animation,11373501,Pulgarcita,G,3/30/94,100,12483,0
0,Family,17193886,Miracle on 34th Street,PG,11/18/94,114,24126,2
25000000,Action,32055248,The Shadow,PG-13,7/1/94,108,19958,0
0,Comedy,1596700,Chasers,R,4/22/94,102,4804,0
0,Biography,2017346,Queen Margot,R,12/9/94,159,14377,1
20000000,Comedy,13383737,Bullets Over Broadway,R,2/24/95,98,31237,0
0,Comedy,28864707,In the Army Now,PG,8/12/94,91,10622,0
13000000,Comedy,7881335,Serial Mom,R,4/13/94,95,22529,0
0,Comedy,1464625,Three Colors: White,R,6/10/94,91,48877,0
0,Adventure,4630377,Black Beauty,G,7/29/94,88,7810,0
0,Comedy,20043254,With Honors,PG-13,4/29/94,103,11565,0
40000000,Adventure,7138449,North,PG,7/22/94,87,11852,0
20000000,Action,15340000,No Escape,R,4/29/94,118,16576,0
0,Drama,16551365,The War,PG-13,11/4/94,126,10752,0
3000000,Biography,21848932,Il Postino,PG,3/22/96,108,27999,0
20000000,Comedy,39487686,Nobody's Fool,R,1/13/95,110,15759,1
0,Comedy,4264509,Brainscan,R,4/22/94,96,8826,0
0,Biography,15238994,The Madness of King George,PG-13,12/28/94,104,12850,2
0,Comedy,60822,It's Pat: The Movie,PG-13,8/26/94,77,8844,0
3500000,Crime,8094616,Fresh,R,9/2/94,114,10327,0
0,Comedy,18137661,Milk Money,PG-13,8/31/94,110,9880,0
0,Adventure,16819465,Andre,PG,8/17/94,100,5543,0
25000000,Comedy,6507514,The Road to Wellville,R,10/28/94,118,10226,0
11000000,Comedy,11439193,The Ref,R,3/11/94,96,20548,0
7000000,Biography,19604000,8 Seconds,PG-13,2/25/94,105,4037,0
0,Comedy,7294403,Eat Drink Man Woman,UNRATED,8/3/94,124,14947,1
0,Action,8009329,The Chase,PG-13,3/4/94,100,15239,0
6200000,Comedy,126247,Police Academy: Mission to Moscow,PG,8/26/94,83,26638,0
10000000,Action,29392418,A Low Down Dirty Shame,R,11/23/94,100,4331,0
7850000,Action,2341309,Double Dragon,PG-13,11/4/94,96,9200,0
200000,Comedy,1359736,Spanking the Monkey,UNRATED,7/15/94,100,5363,0
12000000,Drama,2104000,Death and the Maiden,R,1/27/95,103,18786,0
0,Drama,19710,De amor y de sombras,R,5/10/96,100,1592,0
40000000,Comedy,43622150,City Slickers II: The Legend of Curly's Gold,PG-13,6/10/94,116,15982,0
25000000,Comedy,26372663,I.Q.,PG,12/25/94,100,20930,0
19000000,Comedy,7411659,Clifford,PG,4/1/94,90,5807,0
0,Animation,71368,A Troll in Central Park,G,10/7/94,76,4914,0
35000000,Action,20277185,The Cowboy Way,PG-13,6/3/94,102,6634,0
0,Comedy,13145977,Greedy,PG-13,3/4/94,113,11022,0
0,Comedy,12211068,Little Big League,PG,6/29/94,119,8249,0
20000000,Family,11784000,3 Ninjas Kick Back,PG,5/6/94,93,7189,0
15000000,Comedy,6798240,Mixed Nuts,PG-13,12/21/94,97,8563,0
700000,Comedy,376928,Swimming with Sharks,R,4/21/95,93,20003,0
45000000,Action,28720380,Drop Zone,R,12/9/94,101,16774,0
5000000,Action,1702394,Death Wish V: The Face of Death,R,1/14/94,95,5329,0
7000000,Crime,20851521,Jason's Lyric,R,9/28/94,120,2838,0
45000000,Drama,20928892,Intersection,R,1/21/94,98,6432,0
0,Adventure,16344520,Mi adorable delincuente,PG,3/18/94,96,5382,0
0,Adventure,21006361,Iron Will,PG,1/14/94,108,6113,0
4000000,Comedy,253969,Cemetery Man,R,4/26/96,105,17110,0
0,Comedy,16821273,Lightning Jack,PG-13,3/11/94,98,5541,0
50000000,Action,16478900,Terminal Velocity,PG-13,9/23/94,102,11352,0
26000000,Action,13829734,Highlander: The Final Dimension,PG-13,1/27/95,99,17307,0
1900000,Drama,763847,Before the Rain,NOT RATED,2/24/95,113,11967,1
0,Drama,2332728,To Live,NOT RATED,12/16/94,133,12705,0
6000000,Comedy,38824341,The Paper,R,3/25/94,112,11123,1
0,Adventure,3662459,Cabin Boy,PG-13,1/7/94,80,7171,0
0,Comedy,161410,Sleep with Me,R,11/2/94,86,2233,0
2800000,Drama,2616503,Burnt by the Sun,R,4/21/95,135,11998,2
0,Drama,217881,Sister My Sister,R,7/14/95,100,2712,0
60000000,Comedy,18250211,Love Affair,PG-13,10/21/94,108,3922,1
0,Comedy,1777020,I Like It Like That,R,10/14/94,104,1290,0
30000000,Comedy,18438164,Getting Even with Dad,PG,6/17/94,109,6383,0
